         # i           j           u
          23          16    -517.931
          23          17    -530.314
          23          18    -541.062
          23          19    -550.208
          23          20    -557.783
          23          21    -563.814
          23          22    -568.319
          23          23    -571.314
          23          24    -572.809
          23          25    -572.809
          23          26    -571.314
          23          27    -568.319
          23          28    -563.814
          23          29    -557.783
          23          30    -550.208
          23          31    -541.062
          23          32    -530.314
          23          33    -517.931
          23          34    -503.871
          23          35     -488.09
          23          36    -470.537
          23          37    -451.157
          23          38     -429.89
          23          39    -406.672
          23          40    -381.434
          23          41    -354.103
          23          42      -324.6
          23          43    -292.846
          23          44    -258.754
          23          45    -222.236
          23          46    -183.202
          23          47    -141.558
          23          48    -97.2075
          23          49    -50.0544
          24           0    -50.1526
          24           1    -97.4035
          24           2     -141.85
          24           3     -183.59
          24           4    -222.717
          24           5    -259.325
          24           6    -293.505
          24           7    -325.344
          24           8    -354.928
          24           9    -382.337
          24          10    -407.648
          24          11    -430.934
          24          12    -452.266
          24          13    -471.705
          24          14    -489.313
          24          15    -505.145
          24          16     -519.25
          24          17    -531.673
          24          18    -542.456
          24          19    -551.632
          24          20    -559.233
          24          21    -565.283
          24          22    -569.804
          24          23    -572.809
          24          24    -574.309
          24          25    -574.309
          24          26    -572.809
          24          27    -569.804
          24          28    -565.283
          24          29    -559.233
          24          30    -551.632
          24          31    -542.456
          24          32    -531.673
          24          33     -519.25
          24          34    -505.145
          24          35    -489.313
          24          36    -471.705
          24          37    -452.266
          24          38    -430.934
          24          39    -407.648
          24          40    -382.337
          24          41    -354.928
          24          42    -325.344
          24          43    -293.505
          24          44    -259.325
          24          45    -222.717
          24          46     -183.59
          24          47     -141.85
          24          48    -97.4035
          24          49    -50.1526
          25           0    -50.1526
          25           1    -97.4035
          25           2     -141.85
          25           3     -183.59
          25           4    -222.717
          25           5    -259.325
          25           6    -293.505
          25           7    -325.344
          25           8    -354.928
          25           9    -382.337
          25          10    -407.648
          25          11    -430.934
          25          12    -452.266
          25          13    -471.705
          25          14    -489.313
          25          15    -505.145
          25          16     -519.25
          25          17    -531.673
          25          18    -542.456
          25          19    -551.632
          25          20    -559.233
          25          21    -565.283
          25          22    -569.804
          25          23    -572.809
          25          24    -574.309
          25          25    -574.309
          25          26    -572.809
          25          27    -569.804
          25          28    -565.283
          25          29    -559.233
          25          30    -551.632
          25          31    -542.456
          25          32    -531.673
          25          33     -519.25
          25          34    -505.145
          25          35    -489.313
          25          36    -471.705
          25          37    -452.266
          25          38    -430.934
          25          39    -407.648
          25          40    -382.337
          25          41    -354.928
          25          42    -325.344
          25          43    -293.505
          25          44    -259.325
          25          45    -222.717
          25          46     -183.59
          25          47     -141.85
          25          48    -97.4035
          25          49    -50.1526
          26           0    -50.0544
          26           1    -97.2075
          26           2    -141.558
          26           3    -183.202
          26           4    -222.236
          26           5    -258.754
          26           6    -292.846
          26           7      -324.6
          26           8    -354.103
          26           9    -381.434
          26          10    -406.672
          26          11     -429.89
          26          12    -451.157
          26          13    -470.537
          26          14     -488.09
          26          15    -503.871
          26          16    -517.931
          26          17    -530.314
          26          18    -541.062
          26          19    -550.208
          26          20    -557.783
          26          21    -563.814
          26          22    -568.319
          26          23    -571.314
          26          24    -572.809
          26          25    -572.809
          26          26    -571.314
          26          27    -568.319
          26          28    -563.814
          26          29    -557.783
          26          30    -550.208
          26          31    -541.062
          26          32    -530.314
          26          33    -517.931
          26          34    -503.871
          26          35     -488.09
          26          36    -470.537
          26          37    -451.157
          26          38     -429.89
          26          39    -406.672
          26          40    -381.434
          26          41    -354.103
          26          42      -324.6
          26          43    -292.846
          26          44    -258.754
          26          45    -222.236
          26          46    -183.202
          26          47    -141.558
          26          48    -97.2075
          26          49    -50.0544
          27           0    -49.8574
          27           1    -96.8146
          27           2    -140.971
          27           3    -182.424
          27           4    -221.272
          27           5    -257.607
          27           6    -291.523
          27           7    -323.108
          27           8    -352.448
          27           9    -379.625
          27          10    -404.717
          27          11    -427.797
          27          12    -448.935
          27          13    -468.195
          27          14    -485.639
          27          15     -501.32
          27          16    -515.289
          27          17    -527.592
          27          18    -538.268
          27          19    -547.354
          27          20    -554.879
          27          21    -560.869
          27          22    -565.344
          27          23    -568.319
